model,biofix_rule,evaluation,all_n_events,all_mean_abs_stage_distance,all_exact_major_accuracy,all_display_major_accuracy,all_transition_display_rate,all_adjacent_major_accuracy,all_severe_error_rate,core_no90_n_events,core_no90_mean_abs_stage_distance,core_no90_exact_major_accuracy,core_no90_display_major_accuracy,core_no90_transition_display_rate,core_no90_adjacent_major_accuracy,core_no90_severe_error_rate
shared_major_thresholds_cultivar_offset,jan1,3fold,151,0.609271523178808,0.45695364238410596,0.5960264900662252,0.4503311258278146,0.9337748344370861,0.06622516556291391,150,0.6066666666666667,0.46,0.6,0.4533333333333333,0.9333333333333333,0.06666666666666667
shared_major_thresholds_cultivar_offset,tmean_ge_12_run_5d,3fold,151,0.6158940397350994,0.45695364238410596,0.5960264900662252,0.4503311258278146,0.9271523178807947,0.0728476821192053,150,0.6133333333333333,0.46,0.6,0.4533333333333333,0.9266666666666666,0.07333333333333333
shared_major_thresholds_cultivar_offset,tmean_ge_10_run_5d,3fold,151,0.6225165562913907,0.45695364238410596,0.5960264900662252,0.4503311258278146,0.9205298013245033,0.07947019867549669,150,0.62,0.46,0.6,0.4533333333333333,0.92,0.08
shared_major_thresholds_cultivar_offset,tmean_ge_8_run_5d,3fold,151,0.6291390728476821,0.4503311258278146,0.5960264900662252,0.44370860927152317,0.9205298013245033,0.07947019867549669,150,0.6266666666666667,0.4533333333333333,0.6,0.44666666666666666,0.92,0.08
shared_major_thresholds_cultivar_offset,tmean_ge_12_run_7d,3fold,151,0.6225165562913907,0.4370860927152318,0.5960264900662252,0.46357615894039733,0.9403973509933775,0.059602649006622516,150,0.62,0.44,0.6,0.4666666666666667,0.94,0.06
shared_major_thresholds_cultivar_offset,tmean_ge_8_run_7d,3fold,151,0.6291390728476821,0.4304635761589404,0.5894039735099338,0.47019867549668876,0.9403973509933775,0.059602649006622516,150,0.6266666666666667,0.43333333333333335,0.5933333333333334,0.47333333333333333,0.94,0.06
shared_major_thresholds_cultivar_offset,tmean_ge_10_run_7d,3fold,151,0.6291390728476821,0.4304635761589404,0.5894039735099338,0.47019867549668876,0.9403973509933775,0.059602649006622516,150,0.6266666666666667,0.43333333333333335,0.5933333333333334,0.47333333333333333,0.94,0.06
shared_major_thresholds,tmean_ge_10_run_5d,3fold,151,0.7417218543046358,0.3708609271523179,0.4966887417218543,0.423841059602649,0.8874172185430463,0.11258278145695365,150,0.74,0.37333333333333335,0.5,0.4266666666666667,0.8866666666666667,0.11333333333333333
shared_major_thresholds,tmean_ge_12_run_5d,3fold,151,0.7417218543046358,0.3708609271523179,0.4966887417218543,0.423841059602649,0.8874172185430463,0.11258278145695365,150,0.74,0.37333333333333335,0.5,0.4266666666666667,0.8866666666666667,0.11333333333333333
shared_major_thresholds,tmean_ge_8_run_5d,3fold,151,0.7483443708609272,0.36423841059602646,0.4966887417218543,0.41721854304635764,0.8874172185430463,0.11258278145695365,150,0.7466666666666667,0.36666666666666664,0.5,0.42,0.8866666666666667,0.11333333333333333
shared_major_thresholds,tmean_ge_10_run_3d,3fold,151,0.7748344370860927,0.3443708609271523,0.4768211920529801,0.4370860927152318,0.8807947019867549,0.11920529801324503,150,0.7733333333333333,0.3466666666666667,0.48,0.44,0.88,0.12
shared_major_thresholds,tmean_ge_12_run_3d,3fold,151,0.7748344370860927,0.3443708609271523,0.4768211920529801,0.4370860927152318,0.8807947019867549,0.11920529801324503,150,0.7733333333333333,0.3466666666666667,0.48,0.44,0.88,0.12
shared_major_thresholds,tmean_ge_8_run_3d,3fold,151,0.7814569536423841,0.33774834437086093,0.4768211920529801,0.4370860927152318,0.8807947019867549,0.11920529801324503,150,0.78,0.34,0.48,0.44,0.88,0.12
shared_major_thresholds,tmean_ge_12_run_7d,3fold,151,0.7748344370860927,0.33774834437086093,0.47019867549668876,0.45695364238410596,0.8874172185430463,0.11258278145695365,150,0.7733333333333333,0.34,0.47333333333333333,0.46,0.8866666666666667,0.11333333333333333
shared_major_thresholds,jan1,3fold,151,0.7814569536423841,0.33112582781456956,0.47019867549668876,0.423841059602649,0.8874172185430463,0.11258278145695365,150,0.78,0.3333333333333333,0.47333333333333333,0.4266666666666667,0.8866666666666667,0.11333333333333333
shared_major_thresholds,tmean_ge_8_run_7d,3fold,151,0.7880794701986755,0.33112582781456956,0.47019867549668876,0.4503311258278146,0.8807947019867549,0.11920529801324503,150,0.7866666666666666,0.3333333333333333,0.47333333333333333,0.4533333333333333,0.88,0.12
shared_major_thresholds,tmean_ge_10_run_7d,3fold,151,0.7880794701986755,0.33112582781456956,0.47019867549668876,0.4503311258278146,0.8807947019867549,0.11920529801324503,150,0.7866666666666666,0.3333333333333333,0.47333333333333333,0.4533333333333333,0.88,0.12
cultivar_major_thresholds,tmean_ge_8_run_7d,3fold_after_one_user_feedback,145,0.4689655172413793,0.593103448275862,0.7517241379310344,0.5310344827586206,0.9448275862068966,0.05517241379310345,144,0.4652777777777778,0.5972222222222222,0.7569444444444444,0.5347222222222222,0.9444444444444444,0.05555555555555555
cultivar_major_thresholds_offset,tmean_ge_8_run_7d,3fold_after_one_user_feedback,145,0.4689655172413793,0.593103448275862,0.7517241379310344,0.5310344827586206,0.9448275862068966,0.05517241379310345,144,0.4652777777777778,0.5972222222222222,0.7569444444444444,0.5347222222222222,0.9444444444444444,0.05555555555555555
cultivar_major_thresholds,tmean_ge_10_run_7d,3fold_after_one_user_feedback,145,0.4689655172413793,0.593103448275862,0.7517241379310344,0.5310344827586206,0.9448275862068966,0.05517241379310345,144,0.4652777777777778,0.5972222222222222,0.7569444444444444,0.5347222222222222,0.9444444444444444,0.05555555555555555
