id,created_datetime,text
1281,2026-04-17T02:45:08.653235+00:00,
1282,2026-04-17T02:45:13.899709+00:00,
1283,2026-04-17T02:46:31.303017+00:00,
1284,2026-04-17T02:46:47.674283+00:00,
1285,2026-04-17T02:48:43.717211+00:00,
1286,2026-04-17T02:49:01.159018+00:00,"Image1:4-4.jpg, Normal:28, Malformed:1, Empty:8, MalformationRate:2.7%, GerminationRate:21.6%
Image2:pv3-4-10x20(98).jpg, Normal:18, Malformed:0, Empty:13, MalformationRate:0.0%, GerminationRate:41.9%
Total: Number of images: 2, Normal:46, Malformed:1, Empty:21, MalformationRate:1.4%, GerminationRate:31.8%"
1287,2026-04-17T02:50:52.976563+00:00,
1288,2026-04-17T02:51:03.313839+00:00,"Image1:4-4.jpg, Normal:28, Malformed:1, Empty:8, MalformationRate:2.7%, GerminationRate:21.6%
Image2:pv3-4-10x20(98).jpg, Normal:5, Malformed:6, Empty:10, MalformationRate:28.6%, GerminationRate:47.6%
Image3:Propamocarb-0046.jpg, Normal:18, Malformed:0, Empty:13, MalformationRate:0.0%, GerminationRate:41.9%
Total: Number of images: 3, Normal:51, Malformed:7, Empty:31, MalformationRate:10.4%, GerminationRate:37.0%"
1289,2026-04-19T05:26:11.539438+00:00,
1290,2026-04-19T05:26:29.162307+00:00,"Image1:4-4.jpg, Normal:28, Malformed:1, Empty:8, MalformationRate:2.7%, GerminationRate:21.6%
Image2:pv3-4-10x20(98).jpg, Normal:18, Malformed:0, Empty:13, MalformationRate:0.0%, GerminationRate:41.9%
Total: Number of images: 2, Normal:46, Malformed:1, Empty:21, MalformationRate:1.4%, GerminationRate:31.8%"
1291,2026-04-24T08:03:15.217310+00:00,
1292,2026-04-24T08:03:48.976459+00:00,
1293,2026-04-24T08:03:51.931905+00:00,
1294,2026-04-24T08:04:04.470510+00:00,
1295,2026-04-24T08:04:43.944641+00:00,
1296,2026-04-24T08:04:58.757791+00:00,"Image1:4-4.jpg, Normal:28, Malformed:1, Empty:8, MalformationRate:2.7%, GerminationRate:21.6%
Total: Number of images: 1, Normal:28, Malformed:1, Empty:8, MalformationRate:2.7%, GerminationRate:21.6%"
1297,2026-04-24T08:05:01.729878+00:00,
1298,2026-04-24T08:05:10.810936+00:00,"Image1:4-4.jpg, Normal:28, Malformed:1, Empty:8, MalformationRate:2.7%, GerminationRate:21.6%
Image2:pv3-4-10x20(98).jpg, Normal:18, Malformed:0, Empty:13, MalformationRate:0.0%, GerminationRate:41.9%
Total: Number of images: 2, Normal:46, Malformed:1, Empty:21, MalformationRate:1.4%, GerminationRate:31.8%"
1299,2026-05-18T02:43:09.284727+00:00,
1300,2026-05-18T02:43:24.839901+00:00,"Image1:4-4.jpg, Normal:28, Malformed:1, Empty:8, MalformationRate:2.7%, GerminationRate:21.6%
Total: Number of images: 1, Normal:28, Malformed:1, Empty:8, MalformationRate:2.7%, GerminationRate:21.6%"
